MDC_ACCELERATION_INDEX,MDC_DIM_PER_HECTO_SEC_SQ,/(100.s2)
MDC_ACOUSTIC_RESP_RATE,MDC_DIM_RESP_PER_MIN,/min,1/min,{breath}/min,{breaths}/min,{resp}/min
MDC_AMOUNT_DRUG_REMAIN_CONTAINER,MDC_DIM_X_G_PER_KG,g/kg,MDC_DIM_MILLI_G_PER_KG,mg/kg,MDC_DIM_MICRO_G_PER_KG,ug/kg,MDC_DIM_NANO_G_PER_KG,ng/kg,MDC_DIM_MILLI_L,mL,MDC_DIM_X_G,g,MDC_DIM_MILLI_G,mg,MDC_DIM_MICRO_G,ug,MDC_DIM_NANO_G,ng,MDC_DIM_X_G_PER_M_SQ,g/m2,MDC_DIM_KILO_G_PER_M_SQ,kg/m2,MDC_DIM_MILLI_G_PER_M_SQ,mg/m2,MDC_DIM_MICRO_G_PER_M_SQ,ug/m2,MDC_DIM_NANO_G_PER_M_SQ,ng/m2,MDC_DIM_MILLI_L_PER_KG,mL/kg,MDC_DIM_X_MOLE,mol,MDC_DIM_MILLI_MOLE,mmol,MDC_DIM_X_EQUIV,eq,MDC_DIM_MILLI_EQUIV,meq,MDC_DIM_X_MOLE_PER_KG,mol/kg,MDC_DIM_MILLI_MOLE_PER_KG,mmol/kg,MDC_DIM_X_MOLE_PER_M_SQ,mol/m2,MDC_DIM_MILLI_MOLE_PER_M_SQ,mmol/m2,MDC_DIM_X_EQUIV_PER_KG,eq/kg,MDC_DIM_MILLI_EQUIV_PER_KG,meq/kg,MDC_DIM_X_EQUIV_PER_M_SQ,eq/m2,MDC_DIM_MILLI_EQUIV_PER_M_SQ,meq/m2,MDC_DIM_X_INTL_UNIT,[iU],MDC_DIM_MILLI_INTL_UNIT,m[iU],MDC_DIM_MEGA_INTL_UNIT,M[iU],MDC_DIM_X_INTL_UNIT_PER_KG,[iU]/kg,MDC_DIM_MILLI_INTL_UNIT_PER_KG,m[iU]/kg,MDC_DIM_MEGA_INTL_UNIT_PER_KG,M[iU]/kg,MDC_DIM_X_INTL_UNIT_PER_M_SQ,[iU]/m2,MDC_DIM_MILLI_INTL_UNIT_PER_M_SQ,m[iU]/m2,MDC_DIM_MEGA_INTL_UNIT_PER_M_SQ,M[iU]/m2,MDC_DIM_KILO_INTL_UNIT,k[iU],MDC_DIM_KILO_INTL_UNIT_PER_KG,k[iU]/kg,MDC_DIM_X_ARB_UNIT,[arb'U],MDC_DIM_X_ARB_UNIT_PER_KG,[arb'U]/kg,MDC_DIM_X_ARB_UNIT_PER_M_SQ,[arb'U]/m2,MDC_DIM_MEGA_ARB_UNIT,M[arb'U],MDC_DIM_MEGA_ARB_UNIT_PER_KG,M[arb'U]/kg,MDC_DIM_MEGA_ARB_UNIT_PER_M_SQ,M[arb'U]/m2,MDC_DIM_KILO_ARB_UNIT,k[arb'U],MDC_DIM_KILO_ARB_UNIT_PER_KG,k[arb'U]/kg,MDC_DIM_MILLI_ARB_UNIT,m[arb'U],MDC_DIM_MILLI_ARB_UNIT_PER_KG,m[arb'U]/kg,MDC_DIM_MILLI_ARB_UNIT_PER_M_SQ,m[arb'U]/m2
MDC_AREA_BODY_SURF_ACTUAL,MDC_DIM_SQ_M,m2
MDC_ATTR_ALARM_INACTIVATION_STATE,MDC_DIM_NOS,{unknown}
MDC_ATTR_ALARM_PRIORITY,MDC_DIM_NOS,{unknown}
MDC_ATTR_ALARM_STATE,MDC_DIM_NOS,{unknown}
MDC_ATTR_ALERT_SOURCE,MDC_DIM_NOS,{unknown}
MDC_ATTR_ALERT_TYPE,MDC_DIM_NOS,{unknown}
MDC_ATTR_EVENT_PHASE,MDC_DIM_NOS,{unknown}
MDC_ATTR_GPS_ALT,MDC_DIM_M,m
MDC_ATTR_GPS_ALT_ACCY,MDC_DIM_M,m
MDC_ATTR_GPS_COORDINATES,MDC_DIM_ANG_DEG,deg
MDC_ATTR_GPS_COORD_ACCY,MDC_DIM_ANG_DEG,deg
MDC_ATTR_GPS_HEADING,MDC_DIM_ANG_DEG,deg
MDC_ATTR_GPS_LAT,MDC_DIM_ANG_DEG,deg
MDC_ATTR_GPS_LAT_ACCY,MDC_DIM_ANG_DEG,deg
MDC_ATTR_GPS_LON,MDC_DIM_ANG_DEG,deg
MDC_ATTR_GPS_LON_ACCY,MDC_DIM_ANG_DEG,deg
MDC_ATTR_GPS_PITCH,MDC_DIM_ANG_DEG,deg
MDC_ATTR_GPS_SPEED,MDC_DIM_KILO_M_PER_SEC,km/h
MDC_ATTR_LS_COORD_X,MDC_DIM_M,m
MDC_ATTR_LS_COORD_XYZ,MDC_DIM_M,m
MDC_ATTR_LS_COORD_XYZ_ACCY,MDC_DIM_M,m
MDC_ATTR_LS_COORD_X_ACCY,MDC_DIM_M,m
MDC_ATTR_LS_COORD_Y,MDC_DIM_M,m
MDC_ATTR_LS_COORD_Y_ACCY,MDC_DIM_M,m
MDC_ATTR_LS_COORD_Z,MDC_DIM_M,m
MDC_ATTR_LS_COORD_Z_ACCY,MDC_DIM_M,m
MDC_ATTR_LS_REF_GPS,MDC_DIM_ANG_DEG,deg
MDC_ATTR_LS_REF_GPS_ALT,MDC_DIM_M,m
MDC_ATTR_LS_REF_GPS_BEARING,MDC_DIM_ANG_DEG,deg
MDC_ATTR_LS_REF_GPS_LAT,MDC_DIM_ANG_DEG,deg
MDC_ATTR_LS_REF_GPS_LON,MDC_DIM_ANG_DEG,deg
MDC_ATTR_LS_REF_LIMITS,MDC_DIM_M,m
MDC_ATTR_PT_HEIGHT,MDC_DIM_CENTI_M,cm,MDC_DIM_INCH,[in_i]
MDC_ATTR_PT_WEIGHT,MDC_DIM_KILO_G,kg,MDC_DIM_G,g,MDC_DIM_LB,[lb_av],MDC_DIM_OZ,[oz_av]
MDC_ATTR_PT_WEIGHT_LAST,MDC_DIM_G,g
MDC_ATTR_SAMPLE_RATE,MDC_DIM_HZ,Hz,MDC_DIM_SEC,s
MDC_ATTR_SCALE_RANGE_SIZE,MDC_DIM_CENTI_M,cm,MDC_DIM_MILLI_M,mm
MDC_ATTR_TIME_PD_MSMT_ACTIVE,MDC_DIM_SEC,s
MDC_AWAY_O2_DELTA,MDC_DIM_PERCENT,%,MDC_DIM_VOL_PERCENT,%{vol},MDC_DIM_KILO_PASCAL,kPa,MDC_DIM_MMHG,mm[Hg],MDC_DIM_MILLI_BAR,mbar
MDC_AWAY_RESP_RATE,MDC_DIM_RESP_PER_MIN,/min,1/min,{breath}/min,{breaths}/min,{resp}/min
MDC_BASE_EXCESS_BLD_ART,MDC_DIM_MILLI_MOLE_PER_L,mmol/L,MDC_DIM_MILLI_EQUIV_PER_L,meq/L
MDC_BASE_EXCESS_FLUID_EXTRACELLULAR,MDC_DIM_MILLI_MOLE_PER_L,mmol/L
MDC_BLD_PERF_INDEX,MDC_DIM_PERCENT,%
MDC_BLD_PULS_RATE_INV,MDC_DIM_PER_MIN,/min,1/min,{count}/min,MDC_DIM_BEAT_PER_MIN,/min,1/min,{beat}/min,{beats}/min,MDC_DIM_PULS_PER_MIN,/min,1/min,{pulse}/min,{pulses}/min
MDC_BLD_SHUNT_FRACTION,MDC_DIM_PERCENT,%
MDC_BODY_FAT,MDC_DIM_PERCENT,%
MDC_BODY_WATER,MDC_DIM_DIMLESS,{unitless},1,MDC_DIM_PERCENT,%
MDC_CAPAC_VITAL,MDC_DIM_MILLI_L,mL,MDC_DIM_L,L
MDC_CIRCUM_HEAD,MDC_DIM_CENTI_M,cm,MDC_DIM_INCH,[in_i]
MDC_CO2_RESP_RATE,MDC_DIM_RESP_PER_MIN,/min,1/min,{breath}/min,{breaths}/min,{resp}/min
MDC_CO2_TCUT,MDC_DIM_KILO_PASCAL,kPa,MDC_DIM_MMHG,mm[Hg]
MDC_COAG_CONTROL,MDC_DIM_INR,{INR}
MDC_COMPL_LUNG,MDC_DIM_MILLI_L_PER_CM_H2O,mL/cm[H2O],MDC_DIM_MILLI_L_PER_MBAR,mL/mbar,MDC_DIM_L_PER_BAR,L/bar,MDC_DIM_MILLI_L_PER_HPA,mL/hPa,MDC_DIM_L_PER_MBAR,L/mbar
MDC_COMPL_LUNG_DYN,MDC_DIM_MILLI_L_PER_CM_H2O,mL/cm[H2O],MDC_DIM_MILLI_L_PER_MBAR,mL/mbar,MDC_DIM_L_PER_BAR,L/bar,MDC_DIM_MILLI_L_PER_HPA,mL/hPa,MDC_DIM_L_PER_MBAR,L/mbar
MDC_COMPL_LUNG_DYNAMIC,MDC_DIM_MILLI_L_PER_CM_H2O,mL/cm[H2O],MDC_DIM_MILLI_L_PER_MBAR,mL/mbar,MDC_DIM_L_PER_BAR,L/bar,MDC_DIM_MILLI_L_PER_HPA,mL/hPa,MDC_DIM_L_PER_MBAR,L/mbar
MDC_COMPL_LUNG_STATIC,MDC_DIM_MILLI_L_PER_CM_H2O,mL/cm[H2O],MDC_DIM_MILLI_L_PER_MBAR,mL/mbar,MDC_DIM_L_PER_BAR,L/bar,MDC_DIM_MILLI_L_PER_HPA,mL/hPa,MDC_DIM_L_PER_MBAR,L/mbar
MDC_CONC_AWAY_AGENT,MDC_DIM_PERCENT,%,MDC_DIM_VOL_PERCENT,%{vol},MDC_DIM_KILO_PASCAL,kPa,MDC_DIM_MMHG,mm[Hg],MDC_DIM_MILLI_BAR,mbar
MDC_CONC_AWAY_AGENT_ET,MDC_DIM_PERCENT,%,MDC_DIM_VOL_PERCENT,%{vol},MDC_DIM_KILO_PASCAL,kPa,MDC_DIM_MMHG,mm[Hg],MDC_DIM_MILLI_BAR,mbar
MDC_CONC_AWAY_AGENT_INSP,MDC_DIM_PERCENT,%,MDC_DIM_VOL_PERCENT,%{vol},MDC_DIM_KILO_PASCAL,kPa,MDC_DIM_MMHG,mm[Hg],MDC_DIM_MILLI_BAR,mbar
MDC_CONC_AWAY_AR,MDC_DIM_PERCENT,%,MDC_DIM_VOL_PERCENT,%{vol},MDC_DIM_KILO_PASCAL,kPa,MDC_DIM_MMHG,mm[Hg],MDC_DIM_MILLI_BAR,mbar
MDC_CONC_AWAY_AR_ET,MDC_DIM_PERCENT,%,MDC_DIM_VOL_PERCENT,%{vol},MDC_DIM_KILO_PASCAL,kPa,MDC_DIM_MMHG,mm[Hg],MDC_DIM_MILLI_BAR,mbar
MDC_CONC_AWAY_AR_EXP,MDC_DIM_PERCENT,%,MDC_DIM_VOL_PERCENT,%{vol},MDC_DIM_KILO_PASCAL,kPa,MDC_DIM_MMHG,mm[Hg],MDC_DIM_MILLI_BAR,mbar
MDC_CONC_AWAY_AR_INSP,MDC_DIM_PERCENT,%,MDC_DIM_VOL_PERCENT,%{vol},MDC_DIM_KILO_PASCAL,kPa,MDC_DIM_MMHG,mm[Hg],MDC_DIM_MILLI_BAR,mbar
MDC_CONC_AWAY_CO2,MDC_DIM_PERCENT,%,MDC_DIM_VOL_PERCENT,%{vol},MDC_DIM_KILO_PASCAL,kPa,MDC_DIM_MMHG,mm[Hg],MDC_DIM_MILLI_BAR,mbar
MDC_CONC_AWAY_CO2_ET,MDC_DIM_PERCENT,%,MDC_DIM_VOL_PERCENT,%{vol},MDC_DIM_KILO_PASCAL,kPa,MDC_DIM_MMHG,mm[Hg],MDC_DIM_MILLI_BAR,mbar
MDC_CONC_AWAY_CO2_EXP,MDC_DIM_PERCENT,%,MDC_DIM_VOL_PERCENT,%{vol},MDC_DIM_KILO_PASCAL,kPa,MDC_DIM_MMHG,mm[Hg],MDC_DIM_MILLI_BAR,mbar
MDC_CONC_AWAY_CO2_EXP_PLATEAU_ALV_SLOPE,MDC_DIM_VOL_PERCENT_PER_L,%{vol}/L,MDC_DIM_MM_HG_PER_L,mm[Hg]/L,MDC_DIM_KILO_PASCAL_PER_L,kPa/L
MDC_CONC_AWAY_CO2_INSP,MDC_DIM_PERCENT,%,MDC_DIM_VOL_PERCENT,%{vol},MDC_DIM_KILO_PASCAL,kPa,MDC_DIM_MMHG,mm[Hg],MDC_DIM_MILLI_BAR,mbar
MDC_CONC_AWAY_CO2_INSP_MIN,MDC_DIM_PERCENT,%,MDC_DIM_KILO_PASCAL,kPa,MDC_DIM_MMHG,mm[Hg]
