150612,MDC_ACCELERATION_INDEX,MDC_DIM_PER_HECTO_SEC_SQ,/(100.s2)
151650,MDC_ACOUSTIC_RESP_RATE,MDC_DIM_RESP_PER_MIN,/min,1/min,{breath}/min,{breaths}/min,{resp}/min
158013,MDC_AMOUNT_DRUG_REMAIN_CONTAINER,MDC_DIM_X_G_PER_KG,g/kg,MDC_DIM_MILLI_G_PER_KG,mg/kg,MDC_DIM_MICRO_G_PER_KG,ug/kg,MDC_DIM_NANO_G_PER_KG,ng/kg,MDC_DIM_MILLI_L,mL,MDC_DIM_X_G,g,MDC_DIM_MILLI_G,mg,MDC_DIM_MICRO_G,ug,MDC_DIM_NANO_G,ng,MDC_DIM_X_G_PER_M_SQ,g/m2,MDC_DIM_KILO_G_PER_M_SQ,kg/m2,MDC_DIM_MILLI_G_PER_M_SQ,mg/m2,MDC_DIM_MICRO_G_PER_M_SQ,ug/m2,MDC_DIM_NANO_G_PER_M_SQ,ng/m2,MDC_DIM_MILLI_L_PER_KG,mL/kg,MDC_DIM_X_MOLE,mol,MDC_DIM_MILLI_MOLE,mmol,MDC_DIM_X_EQUIV,eq,MDC_DIM_MILLI_EQUIV,meq,MDC_DIM_X_MOLE_PER_KG,mol/kg,MDC_DIM_MILLI_MOLE_PER_KG,mmol/kg,MDC_DIM_X_MOLE_PER_M_SQ,mol/m2,MDC_DIM_MILLI_MOLE_PER_M_SQ,mmol/m2,MDC_DIM_X_EQUIV_PER_KG,eq/kg,MDC_DIM_MILLI_EQUIV_PER_KG,meq/kg,MDC_DIM_X_EQUIV_PER_M_SQ,eq/m2,MDC_DIM_MILLI_EQUIV_PER_M_SQ,meq/m2,MDC_DIM_X_INTL_UNIT,[iU],MDC_DIM_MILLI_INTL_UNIT,m[iU],MDC_DIM_MEGA_INTL_UNIT,M[iU],MDC_DIM_X_INTL_UNIT_PER_KG,[iU]/kg,MDC_DIM_MILLI_INTL_UNIT_PER_KG,m[iU]/kg,MDC_DIM_MEGA_INTL_UNIT_PER_KG,M[iU]/kg,MDC_DIM_X_INTL_UNIT_PER_M_SQ,[iU]/m2,MDC_DIM_MILLI_INTL_UNIT_PER_M_SQ,m[iU]/m2,MDC_DIM_MEGA_INTL_UNIT_PER_M_SQ,M[iU]/m2,MDC_DIM_KILO_INTL_UNIT,k[iU],MDC_DIM_KILO_INTL_UNIT_PER_KG,k[iU]/kg,MDC_DIM_X_ARB_UNIT,[arb'U],MDC_DIM_X_ARB_UNIT_PER_KG,[arb'U]/kg,MDC_DIM_X_ARB_UNIT_PER_M_SQ,[arb'U]/m2,MDC_DIM_MEGA_ARB_UNIT,M[arb'U],MDC_DIM_MEGA_ARB_UNIT_PER_KG,M[arb'U]/kg,MDC_DIM_MEGA_ARB_UNIT_PER_M_SQ,M[arb'U]/m2,MDC_DIM_KILO_ARB_UNIT,k[arb'U],MDC_DIM_KILO_ARB_UNIT_PER_KG,k[arb'U]/kg,MDC_DIM_MILLI_ARB_UNIT,m[arb'U],MDC_DIM_MILLI_ARB_UNIT_PER_KG,m[arb'U]/kg,MDC_DIM_MILLI_ARB_UNIT_PER_M_SQ,m[arb'U]/m2
188744,MDC_AREA_BODY_SURF_ACTUAL,MDC_DIM_SQ_M,m2
68483,MDC_ATTR_ALARM_INACTIVATION_STATE,MDC_DIM_NOS,{unknown}
68484,MDC_ATTR_ALARM_PRIORITY,MDC_DIM_NOS,{unknown}
68482,MDC_ATTR_ALARM_STATE,MDC_DIM_NOS,{unknown}
68480,MDC_ATTR_ALERT_SOURCE,MDC_DIM_NOS,{unknown}
68485,MDC_ATTR_ALERT_TYPE,MDC_DIM_NOS,{unknown}
68481,MDC_ATTR_EVENT_PHASE,MDC_DIM_NOS,{unknown}
68538,MDC_ATTR_GPS_ALT,MDC_DIM_M,m,MDC_DIM_CENTI_M,cm
68539,MDC_ATTR_GPS_ALT_ACCY,MDC_DIM_M,m,MDC_DIM_CENTI_M,cm
68532,MDC_ATTR_GPS_COORDINATES,MDC_DIM_ANG_DEG,deg
68535,MDC_ATTR_GPS_COORD_ACCY,MDC_DIM_ANG_DEG,deg
68540,MDC_ATTR_GPS_HEADING,MDC_DIM_ANG_DEG,deg
68533,MDC_ATTR_GPS_LAT,MDC_DIM_ANG_DEG,deg
68536,MDC_ATTR_GPS_LAT_ACCY,MDC_DIM_ANG_DEG,deg
68534,MDC_ATTR_GPS_LON,MDC_DIM_ANG_DEG,deg
68537,MDC_ATTR_GPS_LON_ACCY,MDC_DIM_ANG_DEG,deg
68541,MDC_ATTR_GPS_PITCH,MDC_DIM_ANG_DEG,deg
68542,MDC_ATTR_GPS_SPEED,MDC_DIM_KILO_M_PER_SEC,km/h
68525,MDC_ATTR_LS_COORD_X,MDC_DIM_M,m,MDC_DIM_CENTI_M,cm
68524,MDC_ATTR_LS_COORD_XYZ,MDC_DIM_M,m,MDC_DIM_CENTI_M,cm
68528,MDC_ATTR_LS_COORD_XYZ_ACCY,MDC_DIM_M,m,MDC_DIM_CENTI_M,cm
68529,MDC_ATTR_LS_COORD_X_ACCY,MDC_DIM_M,m,MDC_DIM_CENTI_M,cm
68526,MDC_ATTR_LS_COORD_Y,MDC_DIM_M,m,MDC_DIM_CENTI_M,cm
68530,MDC_ATTR_LS_COORD_Y_ACCY,MDC_DIM_M,m,MDC_DIM_CENTI_M,cm
68527,MDC_ATTR_LS_COORD_Z,MDC_DIM_M,m,MDC_DIM_CENTI_M,cm
68531,MDC_ATTR_LS_COORD_Z_ACCY,MDC_DIM_M,m,MDC_DIM_CENTI_M,cm
68518,MDC_ATTR_LS_REF_GPS,MDC_DIM_ANG_DEG,deg
68521,MDC_ATTR_LS_REF_GPS_ALT,MDC_DIM_M,m,MDC_DIM_CENTI_M,cm
68522,MDC_ATTR_LS_REF_GPS_BEARING,MDC_DIM_ANG_DEG,deg
68519,MDC_ATTR_LS_REF_GPS_LAT,MDC_DIM_ANG_DEG,deg
68520,MDC_ATTR_LS_REF_GPS_LON,MDC_DIM_ANG_DEG,deg
68523,MDC_ATTR_LS_REF_LIMITS,MDC_DIM_M,m,MDC_DIM_CENTI_M,cm
68060,MDC_ATTR_PT_HEIGHT,MDC_DIM_CENTI_M,cm,MDC_DIM_INCH,[in_i]
68063,MDC_ATTR_PT_WEIGHT,MDC_DIM_KILO_G,kg,MDC_DIM_G,g,MDC_DIM_LB,[lb_av],MDC_DIM_OZ,[oz_av]
188792,MDC_ATTR_PT_WEIGHT_LAST,MDC_DIM_G,g
68320,MDC_ATTR_SAMPLE_RATE,MDC_DIM_HZ,Hz,MDC_DIM_SEC,s
68327,MDC_ATTR_SCALE_RANGE_SIZE,MDC_DIM_CENTI_M,cm,MDC_DIM_MILLI_M,mm
68185,MDC_ATTR_TIME_PD_MSMT_ACTIVE,MDC_DIM_SEC,s
151744,MDC_AWAY_O2_DELTA,MDC_DIM_PERCENT,%,MDC_DIM_VOL_PERCENT,%{vol},MDC_DIM_KILO_PASCAL,kPa,MDC_DIM_MMHG,mm[Hg],MDC_DIM_MILLI_BAR,mbar
151570,MDC_AWAY_RESP_RATE,MDC_DIM_RESP_PER_MIN,/min,1/min,{breath}/min,{breaths}/min,{resp}/min
160252,MDC_BASE_EXCESS_BLD_ART,MDC_DIM_MILLI_MOLE_PER_L,mmol/L,MDC_DIM_MILLI_EQUIV_PER_L,meq/L
160216,MDC_BASE_EXCESS_FLUID_EXTRACELLULAR,MDC_DIM_MILLI_MOLE_PER_L,mmol/L
150488,MDC_BLD_PERF_INDEX,MDC_DIM_PERCENT,%
149522,MDC_BLD_PULS_RATE_INV,MDC_DIM_PER_MIN,/min,1/min,{count}/min,MDC_DIM_BEAT_PER_MIN,/min,1/min,{beat}/min,{beats}/min,MDC_DIM_PULS_PER_MIN,/min,1/min,{pulse}/min,{pulses}/min
152840,MDC_BLD_SHUNT_FRACTION,MDC_DIM_PERCENT,%
188748,MDC_BODY_FAT,MDC_DIM_PERCENT,%
188764,MDC_BODY_WATER,MDC_DIM_DIMLESS,{unitless},1,MDC_DIM_PERCENT,%
151680,MDC_CAPAC_VITAL,MDC_DIM_MILLI_L,mL,MDC_DIM_L,L
153856,MDC_CIRCUM_HEAD,MDC_DIM_CENTI_M,cm,MDC_DIM_INCH,[in_i]
151594,MDC_CO2_RESP_RATE,MDC_DIM_RESP_PER_MIN,/min,1/min,{breath}/min,{breaths}/min,{resp}/min
151756,MDC_CO2_TCUT,MDC_DIM_KILO_PASCAL,kPa,MDC_DIM_MMHG,mm[Hg]
160276,MDC_COAG_CONTROL,MDC_DIM_INR,{INR}
151688,MDC_COMPL_LUNG,MDC_DIM_MILLI_L_PER_CM_H2O,mL/cm[H2O],MDC_DIM_MILLI_L_PER_MBAR,mL/mbar,MDC_DIM_L_PER_BAR,L/bar,MDC_DIM_MILLI_L_PER_HPA,mL/hPa,MDC_DIM_L_PER_MBAR,L/mbar
151692,MDC_COMPL_LUNG_DYN,MDC_DIM_MILLI_L_PER_CM_H2O,mL/cm[H2O],MDC_DIM_MILLI_L_PER_MBAR,mL/mbar,MDC_DIM_L_PER_BAR,L/bar,MDC_DIM_MILLI_L_PER_HPA,mL/hPa,MDC_DIM_L_PER_MBAR,L/mbar
152600,MDC_COMPL_LUNG_DYNAMIC,MDC_DIM_MILLI_L_PER_CM_H2O,mL/cm[H2O],MDC_DIM_MILLI_L_PER_MBAR,mL/mbar,MDC_DIM_L_PER_BAR,L/bar,MDC_DIM_MILLI_L_PER_HPA,mL/hPa,MDC_DIM_L_PER_MBAR,L/mbar
151696,MDC_COMPL_LUNG_STATIC,MDC_DIM_MILLI_L_PER_CM_H2O,mL/cm[H2O],MDC_DIM_MILLI_L_PER_MBAR,mL/mbar,MDC_DIM_L_PER_BAR,L/bar,MDC_DIM_MILLI_L_PER_HPA,mL/hPa,MDC_DIM_L_PER_MBAR,L/mbar
152456,MDC_CONC_AWAY_AGENT,MDC_DIM_PERCENT,%,MDC_DIM_VOL_PERCENT,%{vol},MDC_DIM_KILO_PASCAL,kPa,MDC_DIM_MMHG,mm[Hg],MDC_DIM_MILLI_BAR,mbar
152460,MDC_CONC_AWAY_AGENT_ET,MDC_DIM_PERCENT,%,MDC_DIM_VOL_PERCENT,%{vol},MDC_DIM_KILO_PASCAL,kPa,MDC_DIM_MMHG,mm[Hg],MDC_DIM_MILLI_BAR,mbar
152464,MDC_CONC_AWAY_AGENT_INSP,MDC_DIM_PERCENT,%,MDC_DIM_VOL_PERCENT,%{vol},MDC_DIM_KILO_PASCAL,kPa,MDC_DIM_MMHG,mm[Hg],MDC_DIM_MILLI_BAR,mbar
152992,MDC_CONC_AWAY_AR,MDC_DIM_PERCENT,%,MDC_DIM_VOL_PERCENT,%{vol},MDC_DIM_KILO_PASCAL,kPa,MDC_DIM_MMHG,mm[Hg],MDC_DIM_MILLI_BAR,mbar
